id,smiles,ECR_1DB1,ECR_3KPZ
VDRML4782,O(C(O)(C(O)C(C)(C)C)C)c1c(cc(cc1C)-c1cccc(O)c1C(C=O)C)C,1.02E-07,4.15E-49
VDRML6137,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(C(C)(C)C)(CC(=O)Nc1ccc(OCC)cc1)CC,9.19E-08,3.50E-21
VDRML1537,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(OC(CCO)C(=O)N)cc1,8.32E-08,0.000100779
VDRML6186,O1CCN(CC1)CCCCc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,0.003019814,0.000559142
VDRML2613,Oc1cc2C=3C(CC=3)C(CCc2cc1)C1(CCC1C(CCCCCCC(O)(C)C)C)C,0.049658598,0.0082085
VDRML7312,[Si](CC)(CC)(c1cc(C)c(OCC(=O)CC(C)C)cc1)c1ccc(OCC2OC2)cc1,6.16E-08,1.37E-45
VDRML15543,FC(O)(C(F)(O)CCO)CCC=C(CC)c1cc(OCc2cc(CO)c(cc2)CO)ccc1,5.57E-08,1.15E-16
VDRML19343,FC(F)(F)C(O)(C(O)CCC(CC)c1cc(ccc1)CCc1cc(C)c(OO)cc1)C(F)(F)F,0.030322415,0.001361396
VDRML9378,O(Cc1cc(CO)c(cc1)CO)c1cc(ccc1)C(CCC)=CC=CC(O)(CC)CC,4.56E-08,3.98E-71
VDRML11793,FC(F)(F)C(C(O)Cc1cc(ccc1)CC(C)c1cc(C)c(OC(CCO)CO)cc1)(CC)C(F)(F)F,4.13E-08,1.39E-12
VDRML1704,FC(F)(F)c1cc(O)c(cc1OCc1cc(OCC(O)C(F)(F)F)c(cc1)C)C(=O)NCCC,3.74E-08,4.34E-66
VDRML3643,O(C)C1=C(O)C(=C(O)C)C(=O)C=C1C(C=C)c1ccccc1,3.38E-08,1.09E-73
VDRML9204,FC(Cc1cc(CO)c(OCCC(F)(O)O)cc1)(CCOc1ccc(cc1)C(CC)=CC)C,3.06E-08,2.56E-16
VDRML1517,O1CN(C1)CCCOc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,6.80E-06,1.06E-23
VDRML21081,O(CC(O)C(O)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(ccc1)COC(CCO)CO,2.50E-08,6.46E-104
VDRML14273,Oc1c2C3C(C4CCC(C(CCCC(O)(C)C)C)C4(CC3)C)Cc2ccc1C1CC1,0.007427381,4.10E-05
VDRML10886,FC(O)(C=CC=C(CC)c1cc(OCCc2cc(CO)c(cc2)CO)ccc1)CO,2.05E-08,1.41E-289
VDRML7525,OC1=C(C2=Nc3c(nc(cc3)-c3ccccc3O)C2=C(O)C)C1=O,1.86E-08,3.47E-211
VDRML731,FC(F)(F)c1cc(C)c(OCc2cc(CO)c(cc2)CO)cc1C(CC)=CC=CC(O)C(F)(F)F,0.005557647,8.34E-08
VDRML11634,O(C(COCO)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,1.52E-08,6.99E-18
VDRML2443,FC(F)(F)C(O)(CCCC(C)C1CCCC1(CC1CCc2c1ccc(O)c2)C)C(F)(F)F,1.37E-05,4.79E-27
VDRML6178,O1CC1NCOc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(=O)C(C)(C)C)cc1,1.24E-08,3.11E-14
VDRML21240,O(CC(O)c1ccc(O)cc1)c1ccc(cc1C)C(Oc1ccc(OC(O)CCO)cc1)(CC)C,1.13E-08,2.64E-28
VDRML6887,FC(F)(F)C(O)(C=CC=C(CCC)c1cc(ccc1)CCc1cc(CO)c(OCO)cc1)C(F)(F)F,0.091157547,1.52E-48
VDRML17631,FC(C(COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(O)CCO)cc1)C)(C)C,9.21E-09,1.04E-16
VDRML878,FC(F)(F)C(O)(C=CC=C(C1OC1)c1cc(ccc1)-c1cc(C)c(OCO)cc1)C(F)(F)F,0.001110908,0.000248705
VDRML13023,FC(C(O)COc1ccc(cc1CO)CC=C(CC)c1ccc(OC(OCO)C)cc1)(C)C,7.54E-09,0.000773104
VDRML96,FC(F)(F)C(O)(C=CC=C(CC)c1cc(ccc1)Cc1cc(C)c(OCO)cc1)C(F)(F)F,6.83E-09,3.30E-37
VDRML11085,FC(O)(C(O)COc1cc(ccc1)C(CC)(CC)c1cc(CO)c(cc1)CC(CCO)CO)C,6.18E-09,6.88E-12
VDRML4388,O(Cc1nc(O)c(cc1)CO)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,5.59E-09,1.24E-06
VDRML1543,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)CC(O)(CO)C)cc1,5.06E-09,5.06E-09
VDRML505,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(OCCO)c(OCO)cc1,4.58E-09,1.48E-36
VDRML2173,Oc1cc2c(cc1)C(CC2)C1C2CCC(C)(C)C(CC2(C1)C)C(CCCC(O)(C)C)C,0.020413943,5.00E-05
VDRML10642,O(C)c1cc(OCc2cc(CCC)c(cc2)-c2ccccc2CC)ccc1CO,3.75E-09,4.96E-195
VDRML1583,FC(F)(F)C(O)(C=CCC(CC)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C(F)(F)F,0.002732376,4.81E-28
VDRML256,FC(F)(F)C(O)(C=CC=C(CC)c1cc(OCc2cc(C)c(OC(O)CO)cc2)ccc1)C(F)(F)F,3.07E-09,1.13E-09
